writing-source-title,writer-name,prayer-line
The Devotional Poems Of Mirabai,Mirabai,"My very existence depends on Shyam, the Beloved He IS the herb that grants me life "
The Devotional Poems Of Mirabai,Mirabai,Mira has become the personal property of Gindhara The people say she is mad 
The Devotional Poems Of Mirabai,Mirabai,"Do not lose hold of such a gracious Master Offer thy body, mind and wealth "
The Devotional Poems Of Mirabai,Mirabai,"Cherish His image in thy heart Come, my companion, look at His face. Drink in the beauty with thine eyes Act only to please Him, in every way "
The Devotional Poems Of Mirabai,Mirabai,I danced before my Gindhara Again and again I dance 
The Devotional Poems Of Mirabai,Mirabai,And put His former love to the test I put on the anklets 
The Devotional Poems Of Mirabai,Mirabai,My love is reserved for Gindhara Gopali And for no-one else 
The Devotional Poems Of Mirabai,Mirabai,I have seen the world and its ways I left brothers and relatives 
The Devotional Poems Of Mirabai,Mirabai,"And all I possessed Dispensing with worldly shame, "
The Devotional Poems Of Mirabai,Mirabai,I came to sit with the holy men I felt joy in the company of the devotees. 
The Devotional Poems Of Mirabai,Mirabai,On beholding the world I wept I planted the creeper of love And watered it with my tears I churned the curds And drew forth the ghee The butter-milk I rejected 
The Devotional Poems Of Mirabai,Mirabai,I drank it down with joy Mira’s love has set in deeply. 
The Devotional Poems Of Mirabai,Mirabai,I am dyed deep m the love of Shyam I have donned anklets and ornaments And danced before Him without shame Now I keep company with the devout And evil thoughts no longer assail me Love of Shyam is the one true thing 
The Devotional Poems Of Mirabai,Mirabai,In all the world Night and day 
The Devotional Poems Of Mirabai,Mirabai,"Have I sung the glories of Han I escaped from the black serpent 3 Without Shyam the world would be a desert. And all worldly talk is vam and insipid Mira weH knows the delights of devotion To that courtly Gindhara, robed as a dancer "
The Devotional Poems Of Mirabai,Mirabai,"I please Him in any way I can Whatever He clothes me in, that I wear Whatever He offers, that I eat ssa My love for Him Is ancient and long-standing Without Him I could not live Wherever He places me, there I remain If He sold me into slavery, "
The Devotional Poems Of Mirabai,Mirabai,I am dancing in his honour Mira’s Lord is the courtly Gindhara 
The Devotional Poems Of Mirabai,Mirabai,"Sister, I have bought Govind in the market You only speak of it secretly. "
The Devotional Poems Of Mirabai,Mirabai,"But I proclaim it openly, beating a drum You say it was expensive. "
The Devotional Poems Of Mirabai,Mirabai,"And I measured it out on the scales I would offer my body, "
The Devotional Poems Of Mirabai,Mirabai,Robed in this smock of five colours 8 Disguised as I was. He caught me. 
The Devotional Poems Of Mirabai,Mirabai,"And the bolt is drawn My good deeds in former births Have come to fruition I have no use even for great lakes, "
The Devotional Poems Of Mirabai,Mirabai,"Who would linger over small ponds and reservoirs I care neither for Ganges nor Jamna, "
The Devotional Poems Of Mirabai,Mirabai,"I am making my way to the sea I do not need worldly associationships, "
The Devotional Poems Of Mirabai,Mirabai,"I have access to the true masters I will not trouble with the officials, "
The Devotional Poems Of Mirabai,Mirabai,Now I have made acquaintance with Thy devotees And shun the world from afar Mira’s Lord is the courtly Gindhara He has fulfilled her desires 
The Devotional Poems Of Mirabai,Mirabai,"Thither will I follow I will not steal, "
Prayers and Meditations,Mirra Alfassa," 
ALTHOUGH my whole being is in theory consecrated to Thee, O Sublime Master, who art the life, the light and the love in all things, I still find it hard to carry out this consecration in detail."
Prayers and Meditations,Mirra Alfassa,"It has taken me several weeks to learn that the reason for this written meditation, its justification, lies in the very fact of addressing it daily to Thee."
Prayers and Meditations,Mirra Alfassa,"In this way I shall put into material shape each day a little of the conversation I have so often with Thee; I shall make my confession to Thee as well as it may be; not because I think I can tell Thee anything — for Thou art Thyself everything, but our artificial and exterior way of seeing and understanding is, if it may be so said, foreign to Thee, opposed to Thy nature."
Prayers and Meditations,Mirra Alfassa,"Still by turning towards Thee, by immersing myself in Thy light at the moment when I consider these things, little by little I shall see them more like what they really are, — until the day when, having made myself one in identity with Thee, I shall no more have anything to say to Thee, for then I shall be Thou."
Prayers and Meditations,Mirra Alfassa,This is the goal that I would reach; towards this victory all my efforts will tend more and more.
Prayers and Meditations,Mirra Alfassa,"I aspire for the day when I can no longer say “I”, for I shall be Thou."
Prayers and Meditations,Mirra Alfassa,"How many times a day, still, I act without my action being consecrated to Thee; I at once become aware of it by an indefinable uneasiness which is translated in the sensibility of my body by a pang in my heart."
Prayers and Meditations,Mirra Alfassa,"I then make my action objective to myself and it seems to me ridiculous, childish or blameworthy; I deplore it, for a moment I am  sad, until I dive into Thee and, there losing myself with a child’s confidence, await from Thee the inspiration and strength needed to set right the error in me and around me, — two things that are one; for I have now a constant and precise perception of the universal unity determining an absolute interdependence of all actions."
Prayers and Meditations,Mirra Alfassa,LET Thy Light be in me like a Fire that makes all alive; let Thy divine Love penetrate me.
Prayers and Meditations,Mirra Alfassa,I aspire with all my being for Thy reign as sovereign and master of my mind and heart and body; let them be Thy docile instruments and Thy faithful servitors.
Prayers and Meditations,Mirra Alfassa,"I SAID yesterday to that young Englishman who is seeking for Thee with so sincere a desire, that I had definitively found Thee, that the Union was constant."
Prayers and Meditations,Mirra Alfassa,Such is indeed the state of which I am conscious.
Prayers and Meditations,Mirra Alfassa,"All my thoughts go towards Thee, all my acts are consecrated to Thee; Thy Presence is for me an absolute, immutable, invariable fact, and Thy Peace dwells constantly in my heart."
Prayers and Meditations,Mirra Alfassa,"Yet I know that this state of union is poor and precarious compared with that which it will become possible for me to realise tomorrow, and I am as yet far, no doubt very far, from that identification in which I shall totally lose the notion of the “I”, of that “I”, which I still use in order to express myself, but which is each time a constraint, like a term unfit to express the thought that is seeking for expression."
Prayers and Meditations,Mirra Alfassa,"It seems to me indispensable for human communication, but all depends on what this “I” manifests; and how many times already, when I pronounce it, it is Thou who speakest in me, for I have lost the sense of separativity."
Prayers and Meditations,Mirra Alfassa,But all this is still in embryo and will continue to grow towards perfection.
Prayers and Meditations,Mirra Alfassa,What an appeasing assurance there is in this serene confidence in Thy All-Might!
Prayers and Meditations,Mirra Alfassa,"Thou art all, everywhere, and in all, and this body which acts is Thy own body, just as is the visible universe in its entirety; it is Thou who breathest, thinkest and lovest in this substance which, being Thyself, desires to be Thy willing servant."
Prayers and Meditations,Mirra Alfassa,WHAT a hymn of thanksgiving should I not be raising at each moment unto Thee!
Prayers and Meditations,Mirra Alfassa,Everywhere and in everything around me Thou revealest Thyself and in me Thy Will and Consciousness express themselves always more and more clearly even to the point of my having almost entirely lost the gross illusion of “me” and “mine”.
Prayers and Meditations,Mirra Alfassa,"If a few shadows, a few flaws can be seen in the great Light which manifests Thee, how shall they bear for long the marvellous brightness of Thy resplendent Love?"
Prayers and Meditations,Mirra Alfassa,"This morning, the consciousness that I had of the way Thou art fashioning this being which was “I” can be roughly represented by a great diamond cut with regular geometrical facets, a diamond in its cohesion, firmness, pure limpidity, transparency, but a brilliant and radiant flame in its intense ever-progressive life."
Prayers and Meditations,Mirra Alfassa,"But it was something more, something better than all that, for nearly all sensation inner and outer was exceeded and that image only presented itself to my mind as I returned to conscious contact with the outer world."
Prayers and Meditations,Mirra Alfassa,"It is Thou that makest the experience fertile, Thou who renderest life progressive, Thou who compellest the darkness to vanish in an instant before the Light, Thou who givest to Love all its power, Thou who everywhere raisest up matter in this ardent and wonderful aspiration, in this sublime thirst for Eternity."
Prayers and Meditations,Mirra Alfassa,Thou everywhere and always; nothing but Thou in the essence and in the manifestation.
Prayers and Meditations,Mirra Alfassa,"O Shadow and Illusion, dissolve!"
Prayers and Meditations,Mirra Alfassa,"O Suffering, fade and disappear!"
Prayers and Meditations,Mirra Alfassa,"Lord Supreme, art Thou not there?"
Prayers and Meditations,Mirra Alfassa,"THE outer life, the activity of each day and each instant, is it not the indispensable complement of our hours of meditation and contemplation?"
Prayers and Meditations,Mirra Alfassa,And is not the proportion of time given to each the exact image of the proportion which exists between the amount of effort to be made for the preparation and realisation?
Prayers and Meditations,Mirra Alfassa,"For meditation, contemplation, Union is the result obtained — the flower that blooms; the daily activity is the anvil on which all the elements must pass and repass in order to be purified, refined, made supple and ripe for the illumination which contemplation gives to them."
Prayers and Meditations,Mirra Alfassa,All these elements must be thus passed one after the other through the crucible before outer activity becomes needless for the integral development.
Prayers and Meditations,Mirra Alfassa,Then is this activity turned into the means to manifest Thee so as to awaken the other centers of consciousness to the same dual work of the forge and the illumination.
Prayers and Meditations,Mirra Alfassa,Therefore are pride and satisfaction with oneself the worst of all obstacles.
Prayers and Meditations,Mirra Alfassa,"Very modestly we must take advantage of all the minute opportunities offered to knead and purify some of the innumerable elements, to make them supple, to make them impersonal, to teach them forgetfulness of self and abnegation and devotion and kindness and gentleness; and when all these modes of being have become habitual to them, then are they ready to participate in the Contemplation, and to identify themselves with Thee in the supreme Concentration."
Prayers and Meditations,Mirra Alfassa,That is why it seems to me that the work must be long and slow even for the best and that striking conversions cannot  be integral.
Prayers and Meditations,Mirra Alfassa,"They change the orientation of the being, they put it definitively on the straight path; but truly to attain the goal none can escape the need of innumerable experiences of every kind and every instant."
Prayers and Meditations,Mirra Alfassa,"O Supreme Master who shinest in my being and each thing, let Thy Light be manifest and the reign of Thy Peace come for all."
Prayers and Meditations,Mirra Alfassa,"SO long as one element of the being, one movement of the thought is still subjected to outside influences, not solely under Thine, it cannot be said that the true Union is realised; there is still the horrible mixture without order and light, — for that element, that movement is a world, a world of disorder and darkness, as is the entire earth in the material world, as is the material world in the entire universe."
Prayers and Meditations,Mirra Alfassa,"LAST night I had the experience of the effectivity of confident surrender to Thy guidance; when it is needful that something should be known, one knows it, and the more passive the mind to Thy illumination, the clearer and the more adequate is its expression."
Prayers and Meditations,Mirra Alfassa,"I listened to Thee as Thou spokest in me, and I would have liked to write down what Thou saidst so that the formula in all its precision might not be lost, — for now I should not be able to repeat what was said."
Prayers and Meditations,Mirra Alfassa,"Then I thought that this care for conservation was again an insulting lack of confidence towards Thee, for Thou canst make of me all that I need to be, and in the measure in which my attitude allows Thee to act on me and in me, Thy omnipotence has no limits."
Prayers and Meditations,Mirra Alfassa,"To know that at each instant what must be surely is, as perfectly as is possible, for all those who know how to see Thee in everything and everywhere!"
Prayers and Meditations,Mirra Alfassa,"No more fear, no more uneasiness, no more anguish; nothing but a perfect Serenity, an absolute Confidence, a supreme unwavering Peace."
Prayers and Meditations,Mirra Alfassa,IN Peace and Silence the Eternal manifests; allow nothing to disturb you and the Eternal will manifest; have perfect equality in face of all and the Eternal will be there.
Prayers and Meditations,Mirra Alfassa,"Yes, we should not put too much intensity, too much effort into our seeking for Thee; the effort and intensity become a veil in front of Thee; we must not desire to see Thee, for that is still a mental agitation which obscures Thy Eternal Presence; it is in the most complete Peace, Serenity and Equality that all is Thou even as Thou art all, and the least vibration in this perfectly pure and calm atmosphere is an obstacle to Thy manifestation."
Prayers and Meditations,Mirra Alfassa,"No haste, no inquietude, no tension, Thou, nothing but Thou, without any analysis or any objectivising, and Thou art there without a possible doubt, for all becomes a Holy Peace and a Sacred Silence."
Prayers and Meditations,Mirra Alfassa,And that is better than all the meditations in the world.
Prayers and Meditations,Mirra Alfassa,"LIKE a flame that burns in silence, like a perfume that rises straight upward without wavering, my love goes to Thee; and like the child who does not reason and has no care, I trust myself to Thee that Thy Will may be done, that Thy Light may manifest, Thy Peace radiate, Thy Love cover the world."
Prayers and Meditations,Mirra Alfassa,"When Thou willest I shall be in Thee, Thyself, and there shall be no more any distinction; I await that blessed hour without impatience of any kind, letting myself flow irresistibly toward it as a peaceful stream flows toward the boundless ocean."
Prayers and Meditations,Mirra Alfassa,"Thy Peace is in me, and in that Peace I see Thee alone present in everything, with the calm of Eternity."
Prayers and Meditations,Mirra Alfassa,"OSUPREME Master, Eternal Teacher, it has been once more granted me to verify the unequalled effectivity of a full confidence in Thy leading."
Prayers and Meditations,Mirra Alfassa,"Thy Light was manifested through my mouth yesterday and it met no resistance in me; the instrument was willing, supple, keen of edge."
Prayers and Meditations,Mirra Alfassa,"It is Thou who art the doer in each thing and each being, and he who is near enough to Thee to see Thee in all actions without exception, will know how to transform each act into a benediction."
Prayers and Meditations,Mirra Alfassa,"To abide always in Thee is the one thing that matters, always and ever more and more in Thee, beyond illusions and the deceptions of the senses, not drawing back from action, refusing it, rejecting it — a struggle useless and pernicious — but living Thee alone in the act whatever it may be, ever and always Thee; then the illusion is dispelled, the falsehoods of the senses vanish, the bond of consequences is broken, all is transformed into a manifestation of the glory of Thy Eternal Presence."
Prayers and Meditations,Mirra Alfassa,So let it be.
Prayers and Meditations,Mirra Alfassa,Amen.
Prayers and Meditations,Mirra Alfassa,"I AWAIT, without haste, without inquietude, the tearing of another veil, the Union made more complete."
Prayers and Meditations,Mirra Alfassa,"I know that the veil is formed of a whole mass of small imperfections, of attachments without number."
Prayers and Meditations,Mirra Alfassa,How shall all these disappear?
Prayers and Meditations,Mirra Alfassa,"Slowly, as the result of countless small efforts and a vigilance not faltering even for a moment, or suddenly, through a great illumination of Thy AllPuissant Love?"
Prayers and Meditations,Mirra Alfassa,"I know not, I do not even put to myself the question; I wait, keeping watch as best I can, in the certitude that nothing exists save Thy Will, that Thou alone art the doer and I am the instrument; and when the instrument is ready for a completer manifestation, the manifestation will quite naturally take place."
Prayers and Meditations,Mirra Alfassa,Already there is heard from behind the veil the wordless symphony of gladness that reveals Thy sublime Presence.
Prayers and Meditations,Mirra Alfassa,"THY voice is heard as a melodious chant in the stillness of my heart, and is translated in my head by words which are inadequate and yet replete with Thee."
Prayers and Meditations,Mirra Alfassa,"And these words are addressed to the Earth and say to her: — Poor sorrowful Earth, remember that I am present in thee and lose not hope; each effort, each grief, each joy and each pang, each call of thy heart, each aspiration of thy soul, each renewal of thy seasons, all, all without exception, what seems to thee sorrowful and what seems to thee joyous, what seems to thee ugly and what seems to thee beautiful, all infallibly lead thee towards me, who am endless Peace, shadowless Light, perfect Harmony, Certitude, Rest and Supreme Blessedness."
Prayers and Meditations,Mirra Alfassa,"Hearken, O Earth, to the sublime voice that arises, Hearken and take new courage!"
Prayers and Meditations,Mirra Alfassa,"O LORD, Thou art my refuge and my blessing, my strength, my health, my hope, and my courage."
Prayers and Meditations,Mirra Alfassa,"Thou art supreme Peace, unalloyed Joy, perfect Serenity."
Prayers and Meditations,Mirra Alfassa,My whole being prostrates before Thee in a gratitude beyond measure and a ceaseless worship; and that worship goes up from my heart and my mind towards Thee like the pure smoke of incense of the perfumes of India.
Prayers and Meditations,Mirra Alfassa,"Let me be Thy herald among men, so that all who are ready may taste the beatitude that Thou grantest me in Thy infinite Mercy, and let Thy Peace reign upon earth."
Prayers and Meditations,Mirra Alfassa,"MY being goes up to Thee in thanksgiving, not because Thou usest this weak and imperfect body to manifest Thyself, but because Thou dost manifest Thyself, and that is the Splendour of splendours, the Joy of joys, the Marvel of marvels."
Prayers and Meditations,Mirra Alfassa,"All who seek Thee with ardour should understand that Thou art there whenever there is need of Thee; and if they could have the supreme faith to give up seeking Thee, but rather to await Thee, at each moment putting themselves integrally at Thy service, Thou wouldst be there whenever there was need of Thee; and is there not always need of Thee with us, whatever may be the different, and often unexpected, forms of Thy manifestation?"
Prayers and Meditations,Mirra Alfassa,"Let Thy glory be proclaimed, And sanctify life; Let it transform men’s hearts, And Thy Peace reign on earth."
Prayers and Meditations,Mirra Alfassa,"AS soon as all effort disappears from a manifestation, it becomes very simple, with the simplicity of a flower opening, manifesting its beauty and spreading its fragrance without clamour or vehement gesture."
Prayers and Meditations,Mirra Alfassa,"And in this simplicity lies the greatest power, the power which is least mixed and least gives rise to harmful reactions."
Prayers and Meditations,Mirra Alfassa,"The power of the vital should be mistrusted, it is a tempter on the path of the work, and there is always a risk of falling into its trap, for it gives you the taste of immediate results; and, in our first eagerness to do the work well, we let ourselves be carried away to make use of this power."
Prayers and Meditations,Mirra Alfassa,But very soon it deflects all our action from the right course and introduces a seed of illusion and death into what we do.
Prayers and Meditations,Mirra Alfassa,"Simplicity, simplicity!"
Prayers and Meditations,Mirra Alfassa,How sweet is the purity of Thy Presence!
Prayers and Meditations,Mirra Alfassa,"...LET the pure perfume of sanctification burn always, rising higher and higher, and straighter and straighter, like the ceaseless prayer of the integral being, desiring to unite with Thee so as to manifest Thee."
Prayers and Meditations,Mirra Alfassa,"AS soon as I have no longer any material responsibilities, all thoughts about these things flee far away from me, and I am solely and entirely occupied with Thee and Thy service."
Prayers and Meditations,Mirra Alfassa,"Then, in that perfect peace and serenity, I unite my will to Thine, and in that integral silence I listen to Thy truth and hear its expression."
Prayers and Meditations,Mirra Alfassa,"It is by becoming conscious of Thy Will and identifying ours with Thine that there is found the secret of true liberty and all-puissance, the secret of the regeneration of forces and the transfiguration of the being."
Prayers and Meditations,Mirra Alfassa,"To be constantly and integrally at one with Thee is to have the assurance that we shall overcome every obstacle and triumph over all difficulties, both within and without."
Prayers and Meditations,Mirra Alfassa,"O Lord, Lord, a boundless joy fills my heart, songs of gladness surge through my head in marvellous waves, and in the full confidence of Thy certain triumph I find a sovereign Peace and an invincible Power."
Prayers and Meditations,Mirra Alfassa,"Thou fillest my being, Thou animatest it, Thou settest in motion its hidden springs, Thou illuminest its understanding, Thou intensifiest its life, Thou increasest tenfold its love; and I no longer know whether the universe is I or I the universe, whether Thou art in me or I in Thee; Thou alone art and all is Thou; and the streams of Thy infinite grace fill and overflow the world."
Prayers and Meditations,Mirra Alfassa,"Sing O lands, sing O peoples, sing O men, The Divine Harmony is there."
Prayers and Meditations,Mirra Alfassa,"EVEN he who might have attained a perfect contemplation in silence and solitude would have arrived at it only by withdrawing from his body, by disregarding it; and so the substance of which the body is constituted would remain as impure, as imperfect as before, since he would have left it to itself; and by a misguided mysticism, through the lure of supraphysical splendours, the egoistic desire to unite with Thee for his own personal satisfaction, he would have turned his back upon the very reason of his earthly existence, he would have refused like a coward to accomplish his mission — the redemption and purification of Matter."
Prayers and Meditations,Mirra Alfassa,"To know that a part of our being is perfectly pure, to commune with this purity, to be identified with it, can be useful only if this knowledge is later used to hasten the transfiguration of the earth, to accomplish Thy sublime work."
Prayers and Meditations,Mirra Alfassa,"GRANT, O Lord, that I may be like a fire that illumines and gives warmth, like a spring of water that quenches thirst, like a tree that shelters and protects."
Prayers and Meditations,Mirra Alfassa,Men are so unhappy and ignorant and have so great a need of help.
Prayers and Meditations,Mirra Alfassa,"My trust in Thee, the certitude within me grow deeper day by day; and day by day too I feel Thy love more ardent within my heart, Thy light more brilliant and yet also more sweet; and more and more am I unable to distinguish Thy Work from my life and my individual being from the entire earth."
Prayers and Meditations,Mirra Alfassa,"O Lord, Lord, Thy Splendour is infinite, marvellous is Thy Truth; and Thy all-powerful Love shall save the world."
Prayers and Meditations,Mirra Alfassa,"TO turn towards Thee, unite with Thee, live in Thee and for Thee, is supreme happiness, unmixed joy, immutable peace; it is to breathe infinity, to soar in eternity, no longer feel one’s limits, escape from time and space."
Prayers and Meditations,Mirra Alfassa,Why do men flee from these boons as though they feared them?
Prayers and Meditations,Mirra Alfassa,"What a strange thing is ignorance, that source of all suffering!"
Prayers and Meditations,Mirra Alfassa,How miserable that obscurity which keeps men away from the very thing which would bring them happiness and subjects them to this painful school of ordinary existence fashioned entirely from struggle and suffering!
Prayers and Meditations,Mirra Alfassa,"THY voice is so modest, so impartial, so sublime in its patience and mercy that it does not make itself heard with any authority, any force of will but comes like a cool breeze, sweet and pure, like a crystalline murmur that brings a note of harmony to a discordant concert."
Prayers and Meditations,Mirra Alfassa,"Yet, for him who knows how to listen to the note, to breathe that breeze, it holds such treasures of beauty, such a fragrance of pure serenity and noble grandeur, that all foolish illusions vanish or are transformed into a joyful acceptance of the marvellous truth that has been glimpsed."
Prayers and Meditations,Mirra Alfassa,...YET what patience is needed!
Prayers and Meditations,Mirra Alfassa,How imperceptible the stages of progress!
Prayers and Meditations,Mirra Alfassa,Oh!
Prayers and Meditations,Mirra Alfassa,"how I call Thee from the very depths of my heart, True Light, Sublime Love, Divine Master who art the source of our light and of our living, our guide and our protector, the Soul of our soul and the Life of our life, the Reason of our being, the supreme Knowledge, the immutable Peace!"
Prayers and Meditations,Mirra Alfassa,"O LORD, inconceivable Splendour, may Thy Beauty spread through all the earth, may Thy Love be kindled in every heart and Thy Peace reign over all."
Prayers and Meditations,Mirra Alfassa,"A deep and solemn chant, smiling and subtle, rises from my heart, and I do not know whether this chant goes from me to Thee or comes from Thee to me or whether Thou and I and the entire universe are this marvellous chant of which I have just become conscious."
Prayers and Meditations,Mirra Alfassa,"Surely there is no longer any Thou or I or any separate universe; only an immense harmony is there, sublime and infinite, which is all things and of which all things will one day grow aware."
Prayers and Meditations,Mirra Alfassa,"It is the harmony of boundless Love, Love victorious over all suffering and all obscurity."
Prayers and Meditations,Mirra Alfassa,"By this law of Love, Thy law, I want to live more and more integrally; to it unreservedly I give myself."
Prayers and Meditations,Mirra Alfassa,And all my being exults in an inexpressible Peace.
Prayers and Meditations,Mirra Alfassa,"THIS morning, as I was glancing over the month that is beginning and wondering how I could serve Thee better, I heard the small voice within like a murmur in the silence, and this is what it said to me: “See how very little all outer circumstances matter."
Prayers and Meditations,Mirra Alfassa,Why strive and strain so to realise thy own conception of Truth?
Prayers and Meditations,Mirra Alfassa,"Be more supple, more trusting."
Prayers and Meditations,Mirra Alfassa,The only duty is not to let oneself be troubled by anything.
Prayers and Meditations,Mirra Alfassa,To torment oneself about doing the right thing causes as much harm as a bad will.
Prayers and Meditations,Mirra Alfassa,"Only in a calm as of deep waters can be found the possibility of True Service.” And this reply was so luminous and pure, it carried within itself such a striking reality, that the state it described was communicated without any difficulty."
Prayers and Meditations,Mirra Alfassa,"It seemed to me I was floating in the calm of deep waters; I understood; I saw clearly what the best attitude would be; and now I have only to ask Thee, O Sublime Master, my Supreme Teacher, to give me the strength and clear-sightedness I need to remain constantly in this state."
Prayers and Meditations,Mirra Alfassa,"“Do not torment thyself, child.Silence, peace, peace.”  O SWEET harmony that dwellest in all things, sweet harmony that fillest my heart, manifest thyself in the most external forms of life, in every feeling, every thought, every action."
Prayers and Meditations,Mirra Alfassa,"All is to me beautiful, harmonious, silent, despite the outer turmoil."
Prayers and Meditations,Mirra Alfassa,"And in this silence it is Thou, O Lord, whom I see; and I see Thee in so unique a way that I can express this perception only as that of an unvarying smile."
Prayers and Meditations,Mirra Alfassa,"In truth, the real nature of the feeling experienced in the presence of the sweetest, most calm, most compassionate smile has a poor resemblance to what I feel when I see Thee in this way."
Prayers and Meditations,Mirra Alfassa,May Thy Peace be with all.
Prayers and Meditations,Mirra Alfassa,"IN this even-fall, Thy Peace deepens and grows more sweet and Thy Voice more clear and distinct in the silence that fills my being."
Prayers and Meditations,Mirra Alfassa,"O Divine Master, Thine is all our life, our thought, our love, all our being."
Prayers and Meditations,Mirra Alfassa,Take unto Thyself once more what is Thine; for Thou art ourselves in our Reality.
Prayers and Meditations,Mirra Alfassa,"OLOVE, divine Love, Thou fillest my whole being and overflowest on every side."
Prayers and Meditations,Mirra Alfassa,"I am Thyself even as Thou art I, and I see Thee in each being, each thing, from the soft breath of the passing breeze to the glorious sun which gives us light and is a symbol of Thee."
Prayers and Meditations,Mirra Alfassa,"O Thou whom I cannot understand, in the silence of the purest devotion I adore Thee."
Prayers and Meditations,Mirra Alfassa,"O LORD, Master of our life, let us soar very high above all care for our material preservation."
Prayers and Meditations,Mirra Alfassa,"Nothing is more humiliating and depressing than these thoughts so constantly turned towards the preservation of the body, these preoccupations with health, the means of subsistence, the framework of life."
